103.8.28.0/24,GB,GB-ENG,Slough
103.8.29.0/24,AU,AU-VIC,Melbourne
103.18.84.0/23,AU,AU-NSW,Sydney
103.18.86.0/24,AU,AU-VIC,Melbourne
103.18.87.0/24,SG,SG-01,Singapore
103.18.87.128/25,SG,SG-01,Singapore
103.152.2.0/23,SG,SG-01,Singapore
103.177.46.0/23,SG,SG-01,Singapore
103.186.82.0/24,US,US-VA,Ashburn
103.186.83.0/24,NZ,NZ-AUK,Auckland
103.245.220.0/23,AU,AU-NSW,Sydney
163.47.100.0/24,US,US-WA,Seattle
163.47.101.0/24,US,US-WA,Seattle
163.47.102.0/24,AU,AU-NSW,Sydney
163.47.103.0/24,US,US-WA,Seattle
